trait	tissue	omics	qtl_name	M_tested_unique_probes	p_bonf_panel	n_pass_probes	n_pass_unique_genes	n_pass_unique_probe_id	min_p_smr_pass	top_gene_pass	top_probe_pass	top_snp_pass
Delirium	Blood	eQTL	eQTL_eQTLGen	11106	4.50207095263821e-06	0	0	0				
Delirium	Blood	mQTL	mQTL_McRae	13139	3.80546464723343e-06	0	0	0				
Delirium	Blood	pQTL	pQTL_FENLAND	1540	3.24675324675325e-05	0	0	0				
Delirium	Blood	pQTL	pQTL_INTERVAL	616	8.11688311688312e-05	1	1	1	1.008926e-13	APOE	APOE.5312.49.3	rs814573
Delirium	Blood	pQTL	pQTL_SCALLOP	71	0.000704225352112676	0	0	0				
Delirium	Blood	sQTL	sQTL_GTEx_Whole_Blood	1919	2.60552371026576e-05	0	0	0				
Delirium	Brain	eQTL	eQTL_BrainMeta	10514	4.75556400989157e-06	1	1	1	3.888354e-06	CEACAM19	ENSG00000186567.13	rs714948
Delirium	Brain	eQTL	eQTL_GTEx_Brain_Amygdala	767	6.51890482398957e-05	0	0	0				
Delirium	Brain	eQTL	eQTL_GTEx_Brain_Anterior_cingulate_cortex_BA24	1151	4.34404865334492e-05	0	0	0				
Delirium	Brain	eQTL	eQTL_GTEx_Brain_Caudate_basal_ganglia	2050	2.4390243902439e-05	0	0	0				
Delirium	Brain	eQTL	eQTL_GTEx_Brain_Cerebellar_Hemisphere	2712	1.84365781710914e-05	0	0	0				
Delirium	Brain	eQTL	eQTL_GTEx_Brain_Cerebellum	3387	1.47623265426631e-05	0	0	0				
Delirium	Brain	eQTL	eQTL_GTEx_Brain_Cortex	2381	2.09995800083998e-05	0	0	0				
Delirium	Brain	eQTL	eQTL_GTEx_Brain_Frontal_Cortex_BA9	1769	2.82645562464669e-05	0	0	0				
Delirium	Brain	eQTL	eQTL_GTEx_Brain_Hippocampus	1277	3.91542678151919e-05	0	0	0				
Delirium	Brain	eQTL	eQTL_GTEx_Brain_Hypothalamus	1244	4.01929260450161e-05	0	0	0				
Delirium	Brain	eQTL	eQTL_GTEx_Brain_Nucleus_accumbens_basal_ganglia	1949	2.5654181631606e-05	0	0	0				
Delirium	Brain	eQTL	eQTL_GTEx_Brain_Putamen_basal_ganglia	1671	2.99222022740874e-05	0	0	0				
Delirium	Brain	eQTL	eQTL_GTEx_Brain_Spinal_cord_cervical_c-1	1065	4.69483568075117e-05	0	0	0				
Delirium	Brain	eQTL	eQTL_GTEx_Brain_Substantia_nigra	694	7.20461095100865e-05	0	0	0				
Delirium	Brain	mQTL	mQTL_BrainMeta	14588	3.42747463668769e-06	1	1	1	1.670595e-08	TOMM40	cg02613937	rs59007384
Delirium	Brain	sQTL	sQTL_BrainMeta	9457	5.28708892883578e-06	0	0	0				
Delirium	Brain	sQTL	sQTL_GTEx_Brain_Amygdala	827	6.0459492140266e-05	0	0	0				
Delirium	Brain	sQTL	sQTL_GTEx_Brain_Anterior_cingulate_cortex_BA24	1016	4.92125984251969e-05	0	0	0				
Delirium	Brain	sQTL	sQTL_GTEx_Brain_Caudate_basal_ganglia	1313	3.80807311500381e-05	0	0	0				
Delirium	Brain	sQTL	sQTL_GTEx_Brain_Cerebellar_Hemisphere	1801	2.77623542476402e-05	0	0	0				
Delirium	Brain	sQTL	sQTL_GTEx_Brain_Cerebellum	1966	2.54323499491353e-05	0	0	0				
Delirium	Brain	sQTL	sQTL_GTEx_Brain_Cortex	1486	3.36473755047106e-05	0	0	0				
Delirium	Brain	sQTL	sQTL_GTEx_Brain_Frontal_Cortex_BA9	1283	3.8971161340608e-05	0	0	0				
Delirium	Brain	sQTL	sQTL_GTEx_Brain_Hippocampus	980	5.10204081632653e-05	0	0	0				
Delirium	Brain	sQTL	sQTL_GTEx_Brain_Hypothalamus	1127	4.43655723158829e-05	0	0	0				
Delirium	Brain	sQTL	sQTL_GTEx_Brain_Nucleus_accumbens_basal_ganglia	1382	3.61794500723589e-05	0	0	0				
Delirium	Brain	sQTL	sQTL_GTEx_Brain_Putamen_basal_ganglia	1058	4.72589792060492e-05	0	0	0				
